0.0,-0.187
1.0,-0.1848378671703494
2.0,-0.18270323327230498
3.0,-0.1805957485626738
4.0,-0.1785150677464466
5.0,-0.17646084992022404
6.0,-0.17443275851636225
7.0,-0.1724304612478288
8.0,-0.17045363005376019
9.0,-0.16850194104571137
10.0,-0.16657507445458947
11.0,-0.16467271457826177
12.0,-0.1627945497298307
13.0,-0.16094027218656604
14.0,-0.15910957813948712
15.0,-0.157302167643586
16.0,-0.155517744568684
17.0,-0.15375601655091276
18.0,-0.15201669494481296
19.0,-0.15029949477604176
20.0,-0.14860413469468226
21.0,-0.14693033692914614
22.0,-0.14527782724066335
23.0,-0.14364633487834993
24.0,-0.14203559253484754
25.0,-0.14044533630252748
26.0,-0.13887530563025124
27.0,-0.13732524328068146
28.0,-0.1357948952881352
29.0,-0.13428401091697412
30.0,-0.13279234262052303
31.0,-0.13131964600051133
32.0,-0.1298656797670305
33.0,-0.12843020569900032
34.0,-0.1270129886051384
35.0,-0.12561379628542577
36.0,-0.12423239949306279
37.0,-0.12286857189690892
38.0,-0.12152209004439991
39.0,-0.12019273332493699
40.0,-0.11888028393374153
41.0,-0.11758452683616938
42.0,-0.11630524973247905
43.0,-0.1150422430230482
44.0,-0.11379529977403222
45.0,-0.11256421568345983
46.0,-0.1113487890477597
47.0,-0.11014882072871299
48.0,-0.10896411412082599
49.0,-0.10779447511911791
50.0,-0.10663971208731826
51.0,-0.10549963582646874
52.0,-0.10437405954392442
53.0,-0.10326279882274934
54.0,-0.10216567159150101
55.0,-0.10108249809439969
56.0,-0.10001310086187654
57.0,-0.09895730468149677
58.0,-0.0979149365692524
59.0,-0.09688582574122019
60.0,-0.09586980358557995
61.0,-0.09486670363498889
62.0,-0.09387636153930723
63.0,-0.09289861503867061
64.0,-0.09193330393690517
65.0,-0.09098027007528064
66.0,-0.09003935730659722
67.0,-0.08911041146960207
68.0,-0.08819328036373124
69.0,-0.08728781372417274
70.0,-0.08639386319724686
71.0,-0.0855112823160995
72.0,-0.08463992647670479
73.0,-0.08377965291417282
74.0,-0.08293032067935867
75.0,-0.08209179061576904
76.0,-0.08126392533676259
77.0,-0.08044658920304006
78.0,-0.07963964830042095
79.0,-0.07884297041790266
80.0,-0.07805642502599879
81.0,-0.07727988325535283
82.0,-0.07651321787562398
83.0,-0.07575630327464142
84.0,-0.0750090154378237
85.0,-0.07427123192786
86.0,-0.07354283186464966
87.0,-0.07282369590549687
88.0,-0.0721137062255574
89.0,-0.07141274649853391
90.0,-0.07072070187761662
91.0,-0.07003745897666681
92.0,-0.06936290585163918
93.0,-0.06869693198224075
94.0,-0.068039428253823
95.0,-0.06739028693950425
96.0,-0.06674940168251944
97.0,-0.06611666747879444
98.0,-0.06549198065974188
99.0,-0.06487523887527594
100.0,-0.06426634107704302
101.0,-0.06366518750186571
102.0,-0.06307167965539756
103.0,-0.062485720295985335
104.0,-0.06190721341873676
105.0,-0.06133606423979102
106.0,-0.06077217918078896
107.0,-0.060215465853541116
108.0,-0.059665833044890614
109.0,-0.05912319070176856
110.0,-0.05858744991643957
111.0,-0.05805852291193496
112.0,-0.0575363230276711
113.0,-0.0570207647052508
114.0,-0.05651176347444525
115.0,-0.05600923593935414
116.0,-0.05551309976474199
117.0,-0.055023273662548125
118.0,-0.05453967737856822
119.0,-0.0540622316793053
120.0,-0.05359085833898799
121.0,-0.05312548012675375
122.0,-0.05266602079399525
123.0,-0.05221240506186761
124.0,-0.051764558608954556
125.0,-0.05132240805909142
126.0,-0.05088588096934303
127.0,-0.0504549058181345
128.0,-0.05002941199353299
129.0,-0.049609329781678445
130.0,-0.04919459035536155
131.0,-0.04878512576274696
132.0,-0.048380868916239855
133.0,-0.04798175358149418
134.0,-0.04758771436656069
135.0,-0.047198686711172944
136.0,-0.046814606876169645
137.0,-0.04643541193305145
138.0,-0.046061039753670624
139.0,-0.045691429000051846
140.0,-0.04532651911434242
141.0,-0.044966250308890385
142.0,-0.044610563556448754
143.0,-0.04425940058050433
144.0,-0.04391270384572958
145.0,-0.043570416548555965
146.0,-0.043232482607866995
147.0,-0.04289884665580988
148.0,-0.042569454028723926
149.0,-0.04224425075818425
150.0,-0.04192318356215952
151.0,-0.04160619983628215
152.0,-0.041293247645229396
153.0,-0.040984275714214195
154.0,-0.04067923342058423
155.0,-0.04037807078552773
156.0,-0.04008073846588488
157.0,-0.03978718774606328
158.0,-0.03949737053005637
159.0,-0.039211239333563144
160.0,-0.0389287472762083
161.0,-0.03864984807386124
162.0,-0.038374496031052745
163.0,-0.038102646033488174
164.0,-0.03783425354065582
165.0,-0.03756927457852925
166.0,-0.03730766573236257
167.0,-0.03704938413957721
168.0,-0.03679438748273922
169.0,-0.03654263398262596
170.0,-0.03629408239138077
171.0,-0.036048691985754965
172.0,-0.035806422560435536
173.0,-0.03556723442145789
174.0,-0.03533108837970228
175.0,-0.035097945744472975
176.0,-0.0348677683171591
177.0,-0.03464051838497603
178.0,-0.03441615871478655
179.0,-0.0341946525470004
180.0,-0.033975963589551544
181.0,-0.033760056011952
182.0,-0.03354689443942127
183.0,-0.03333644394709047
184.0,-0.03312867005428016
185.0,-0.032923538718850974
186.0,-0.03272101633162604
187.0,-0.03252106971088438
188.0,-0.032323666096924386
189.0,-0.03212877314669636
190.0,-0.03193635892850337
191.0,-0.031746391916769465
192.0,-0.03155884098687452
193.0,-0.03137367541005461
194.0,-0.03119086484836743
195.0,-0.031010379349721607
196.0,-0.0308321893429693
197.0,-0.030656265633061196
198.0,-0.03048257939626313
199.0,-0.030311102175433535
